rv.AEX,rv.AORD,rv.BFX,rv.BSESN,rv.BVLG,rv.BVSP,rv.DJI,rv.FCHI,rv.FTMIB,rv.FTSE,rv.GDAXI,rv.GSPTSE,rv.HSI,rv.IBEX,rv.IXIC,rv.KS11,rv.KSE,rv.MXX,rv.N225,rv.NSEI,rv.OMXC20,rv.OMXHPI,rv.OMXSPI,rv.OSEAX,rv.RUT,rv.SMSI,rv.SPX,rv.SSEC,rv.SSMI,rv.STI,rv.STOXX50E,V1,V2,V3,
6.91E-05,2.60E-05,8.78E-05,6.11E-05,2.13E-05,5.24E-05,4.85E-05,7.76E-05,3.94E-05,7.54E-05,7.24E-05,1.44E-05,4.24E-05,8.08E-05,5.61E-05,4.16E-05,0.000131968,3.56E-05,1.65E-05,5.98E-05,5.60E-05,4.84E-05,4.53E-05,6.69E-05,4.61E-05,6.16E-05,5.05E-05,1.82E-05,3.97E-05,2.05E-05,6.95E-05,1.27E-09,6.48E-10,3.31E-10,
0.000183522,1.36E-05,0.000160672,0.000118138,7.13E-05,0.00025321,0.00022558,0.000228776,0.000183859,0.000117412,0.00017445,5.23E-05,5.01E-05,8.41E-05,0.000273734,3.18E-05,0.000191257,8.46E-05,1.38E-05,0.000106124,7.74E-05,0.000104682,0.000115272,9.40E-05,0.000172024,0.000112881,0.000368179,5.46E-05,0.000107509,1.66E-05,0.000205493,7.16E-09,4.62E-09,2.98E-09,
8.09E-05,0.00018437,0.000112738,0.000179782,3.53E-05,8.26E-05,7.10E-05,8.36E-05,8.29E-05,0.000117412,9.99E-05,1.68E-05,9.77E-05,5.82E-05,5.46E-05,3.52E-05,0.000104699,3.19E-05,7.70E-05,0.000172942,0.000236451,7.46E-05,8.15E-05,0.000196074,2.94E-05,5.65E-05,2.38E-05,5.67E-05,8.98E-05,2.72E-05,7.87E-05,1.02E-09,1.81E-09,3.21E-09,
4.63E-05,1.20E-05,6.02E-05,7.22E-05,2.04E-05,0.00017621,5.39E-05,4.72E-05,7.30E-05,4.90E-05,4.99E-05,1.65E-05,3.62E-05,5.32E-05,6.72E-05,2.92E-05,0.000195451,5.57E-05,1.53E-05,7.54E-05,4.50E-05,2.56E-05,2.48E-05,2.95E-05,5.20E-05,3.46E-05,6.35E-05,5.45E-05,3.41E-05,2.16E-05,4.87E-05,3.10E-09,3.04E-09,2.97E-09,
6.87E-05,1.38E-05,6.68E-05,4.64E-05,3.62E-05,6.04E-05,4.05E-05,7.13E-05,8.07E-05,7.33E-05,8.46E-05,1.13E-05,2.24E-05,2.66E-05,4.95E-05,2.57E-05,0.000122705,2.11E-05,9.63E-06,5.01E-05,5.02E-05,5.70E-05,6.33E-05,3.90E-05,4.56E-05,4.75E-05,5.98E-05,1.52E-05,5.70E-05,2.77E-05,7.08E-05,4.45E-10,3.21E-10,2.31E-10,
6.95E-05,1.66E-05,7.16E-05,7.74E-05,3.29E-05,6.24E-05,3.57E-05,8.27E-05,4.96E-05,4.48E-05,6.94E-05,9.83E-06,6.75E-05,6.20E-05,4.14E-05,5.94E-05,0.000129588,0.00010332,2.41E-05,8.52E-05,6.72E-05,3.78E-05,4.43E-05,3.61E-05,3.13E-05,4.87E-05,2.61E-05,2.23E-05,5.31E-05,3.60E-05,7.08E-05,1.07E-08,2.30E-09,4.97E-10,
3.14E-05,3.53E-05,3.87E-05,9.00E-05,3.28E-05,6.07E-05,3.28E-05,4.36E-05,3.47E-05,2.89E-05,3.44E-05,1.19E-05,8.51E-05,1.76E-05,4.30E-05,2.37E-05,7.82E-05,5.96E-05,1.43E-05,9.21E-05,9.38E-05,2.81E-05,3.38E-05,5.12E-05,3.23E-05,2.12E-05,3.09E-05,3.75E-05,2.23E-05,2.71E-05,3.18E-05,3.55E-09,2.24E-09,1.41E-09,
1.90E-05,1.44E-05,2.54E-05,9.00E-05,3.10E-05,3.70E-05,3.28E-05,9.51E-06,2.40E-05,4.54E-05,1.91E-05,1.19E-05,3.93E-05,1.32E-05,4.30E-05,1.77E-05,0.000186246,5.96E-05,9.40E-06,9.21E-05,5.38E-05,1.69E-05,2.50E-05,1.57E-05,3.23E-05,2.04E-05,3.09E-05,3.99E-05,1.60E-05,1.44E-05,2.18E-05,3.55E-09,2.38E-09,1.59E-09,
6.34E-05,1.73E-05,5.70E-05,6.45E-05,1.28E-05,0.00012555,5.81E-05,7.14E-05,6.85E-05,6.07E-05,6.71E-05,2.08E-05,4.45E-05,1.46E-05,7.82E-05,2.12E-05,7.82E-05,4.17E-05,1.07E-05,5.68E-05,4.70E-05,4.13E-05,5.58E-05,5.23E-05,9.70E-05,4.88E-05,2.17E-05,1.83E-05,5.10E-05,1.86E-05,7.92E-05,1.74E-09,7.63E-10,3.35E-10,
2.08E-05,4.99E-05,1.97E-05,7.33E-05,2.02E-05,3.70E-05,9.87E-06,1.96E-05,1.46E-05,3.94E-05,2.21E-05,1.63E-05,0.000178427,1.05E-05,1.56E-05,4.11E-05,0.000186725,3.92E-05,1.55E-05,7.50E-05,0.000111841,1.51E-05,1.39E-05,6.93E-05,1.62E-05,1.67E-05,1.21E-05,6.26E-05,2.40E-05,3.27E-05,6.08E-05,1.54E-09,2.45E-09,3.92E-09,
