"rv.AEX","rv.AORD","rv.BVSP","rv.DJI","rv.GDAXI","rv.GSPTSE","rv.IXIC","rv.RUT","rv.SPX","rv.SSMI","rv.STOXX50E"
8.17e-05,1.2e-05,2.46e-05,3.33e-05,6.91e-05,1.09e-05,6.16e-05,4.17e-05,4.14556e-05,3.78e-05,7.05e-05
0.000100851,9.82e-05,4.45e-05,4.12e-05,7.44e-05,1.49e-05,5.4e-05,2.56e-05,2.30435e-05,6.17e-05,9.3e-05
5.47e-05,0.000111094,1.61e-05,1.14e-05,4.44e-05,9.19e-06,1.27e-05,1.06e-05,1.05809e-05,3.15e-05,4.63e-05
3.58e-05,6.37e-05,1.32e-05,2.13e-05,3.83e-05,1.15e-05,1.96e-05,1.4e-05,9.17044e-06,2.69e-05,3.53e-05
2.2e-05,1.01e-05,1.18e-05,1.25e-05,3.82e-05,8.02e-06,6.02e-06,1.63e-05,9.32584e-06,2.79e-05,2.95e-05
1.54e-05,2.18e-05,1.7e-05,7.09e-06,1e-05,7.03e-06,8.58e-06,7.65e-06,6.5694e-06,1.4e-05,1.43e-05
6.05e-05,1.42e-05,2.5e-05,2.25e-05,7.86e-05,9.02e-06,2.04e-05,1.08e-05,9.43535e-06,3.91e-05,7.28e-05
2.8e-05,1.99e-05,1.93e-05,9.92e-06,5.18e-05,6.89e-06,1.07e-05,7.6e-06,4.24696e-06,2.59e-05,3.62e-05
8.05e-05,1.73e-05,2.13e-05,8.45e-05,8.69e-05,1.78e-05,0.0001047,6e-05,5.17234e-05,4.26e-05,8.51e-05
8.02e-05,2.51e-05,5.62e-05,4.5e-05,7.34e-05,7.39e-06,4.7e-05,3.99e-05,2.45876e-05,4.43e-05,0.000157187
1.76e-05,2.9e-05,1.43e-05,1.92e-05,1.46e-05,6.52e-06,7.34e-06,1.04e-05,7.02364e-06,4.43e-05,3.25e-05
1.98e-05,1.3e-05,2.73e-05,8.62e-06,3.11e-05,6.26e-06,5.99e-06,5.43e-06,1.82695e-06,1.91e-05,2.63e-05
1.45e-05,1.94e-05,2.59e-05,8.11e-06,2.38e-05,5.3e-06,7.62e-06,7.98e-06,1.90383e-06,2.28e-05,1.74e-05
2.07e-05,1.36e-05,2.85e-05,8.85e-06,3.69e-05,6e-06,6.07e-06,3.81e-06,6.10408e-06,2.39e-05,1.89e-05
3.23e-05,1.4e-05,3.56e-05,2.44e-05,4.41e-05,1.35e-05,8.89e-06,4.02e-06,3.21748e-06,2.25e-05,5.5e-05
1e-05,1.14e-05,8.74e-06,7.84e-06,1.19e-05,6.57e-06,2.98e-06,1.08e-05,1.04136e-06,1.1e-05,9.92e-06
4.25e-06,8.49e-06,8.74e-06,3.65e-06,1.19e-05,5.22e-06,3.22e-06,3.15e-06,1.21646e-06,1.1e-05,1.35e-06
4.25e-06,8.49e-06,8.74e-06,3.65e-06,1.19e-05,5.22e-06,3.22e-06,3.15e-06,1.21646e-06,1.1e-05,1.35e-06
4.25e-06,8.49e-06,9.09e-06,3.73e-06,1.19e-05,5.22e-06,5.17e-06,2.91e-06,5.72233e-06,1.1e-05,1.35e-06
4.25e-06,1.15e-05,3.83e-05,6.31e-06,1.34e-05,9.24e-06,1.88e-05,1.42e-05,6.31284e-06,1.52e-05,1.93e-05
2.25e-05,2e-05,2.88e-05,2.13e-05,1.47e-05,1.77e-05,4.58e-05,2.22e-05,2.05137e-05,2.27e-05,1.61e-05
1.52e-05,5.28e-05,2.88e-05,1.05e-05,1.47e-05,6.93e-06,1.64e-05,1.49e-05,1.34707e-05,2.27e-05,4.6e-06
1.52e-05,5.28e-05,2.88e-05,1.05e-05,1.47e-05,6.93e-06,1.64e-05,1.49e-05,1.34707e-05,2.27e-05,4.6e-06
1.79e-05,2.19e-05,3.17e-05,1.58e-05,3.16e-05,1.11e-05,2.27e-05,3.26e-05,1.74901e-05,2.27e-05,3.13e-05
3.65e-05,0.000116196,5.68e-05,4.66e-05,4.94e-05,1.36e-05,4.43e-05,2.41e-05,1.95472e-05,2.27e-05,6.7e-05
3.65e-05,3.81e-05,7.98e-05,1.02e-05,5.88e-05,8.32e-06,2.54e-05,1.29e-05,3.5829e-05,3.6e-05,7.75e-05
